app_id	topics
com.panzerdog.tacticool	10239,10228
com.zte.handservice	10386,10184
com.Dominos	10212
com.popcore.wreckingball	10230
com.nhn.android.navercafe	10332
com.adobe.fas	10166,10164
com.asus.splendid	10184
com.speaktranslate.englishalllanguaguestranslator.ivoicetranslation	10365
com.hello.CakeCookingShop	10230
com.asus.weathertime	10318
com.translateall.freelanguage	10365
com.heyy.messenger.launch	10332,10184,10280
com.ketchapp.spacefrontier	10230
com.gamesforgirlsfree.richgirl	10230,10252
co.happybits.marcopolo	10281
com.kobgames.sawrace	10230
com.easygames.race	10232
com.miniclip.realsniper	10239
com.domobile.applock.lite	10184
com.tp.moneybank	10230
com.games.bearparty	10230
com.download.free.videodownloader	10174
com.linecorp.LGTMTMG	10230
com.hitapps.mergestrike	10230,10228
com.gezellig.roadcrash	10232
com.ddgames.newmusicplayer	10035
com.flightradar24free	10444,10429
com.Extramarks.Smartstudy	10360,10301
org.mrchops.android.digihud	10094
com.szyk.myheart
br.org.sidi.aplicacoesbrasil.widget	10311
us.current.android	10140,10035,10040
com.ram.itsl	10184
com.picadelic.fxguru	10183
com.tinydragonadventuregames.pony.crafting.unicorn.game.girls.color.quest.pet.building.minecraft.cube.pixel.rainbow.secret.free	10250,10238
com.xenonstudio.serversforminecraft	10234,10238
com.mstfbs.yesiluzayli	10011
com.google.android.apps.podcasts	10028
com.lyrebirdstudio.art_filter	10182
com.rovio.blast	10230
com.bytetyper.iwantpizza	10230,10228
com.google.android.ims	10280
com.video.downloader.hd.downloader.pro.videodownloader.global	10183,10174
com.sir.racing.ultimatemotorcyclesimulator	10244
com.truelife.mobile.android.trueiservice	10277
com.sec.android.app.music	10178
com.talabat	10212
com.wjp.zombie	10239
com.dhqsolutions.enjoyphoto	10182
com.phonepe.app.business	10189
ws.letras	10257,10253
com.kvadgroup.pipcamera	10182
com.TwentySeven.MelonPlayground	10239
com.fight.up.io	10230,10228
com.spotify.tv.android	10035,10053
com.renderedideas.airforce1945	10228
com.quok.repairMaster3d	10240,10230
com.thumbspire.weedfirm2	10241
com.aimp.player	10178,10028
com.bandlab.bandlab	10165
com.tabtale.candyblash	10230,10252
com.dictionary.bn	10359
com.frojo.cat	10230
jp.naver.line.android	10332,10281,10280
com.Locos.MBS	10244
com.mytalkingcatemma.ballerinagames	10240,10250,10230
com.zeptolab.thieves.google	10247,10228
catdog.music.tiles.challenge	10237
com.highscorehero.takedown	10232,10228
evolution.music.tiles.challenge	10237
com.trucks.offroad.spintrials	10244
com.ohbibi.fps	10239,10228
com.beermoneygames.demolition3	10232
br.com.netshoes.app	10380
com.tap4fun.brutalage_test	10247
com.alokmandavgane.hinducalendar	10367,10362
com.blendergame.smash	10230
com.igames.bottleshooterexpert	10239
short.video.app	10329,10332
com.nytimes.android	10315
br.gov.fazenda.receita.pessoafisica	10188,10307
com.iqoption	10206,10166
com.moto.racing.rider.mrr	10232
com.mgc.Miami.ViceTown	10239,10229,10228
com.cyclopsgames.experimentz	10239
com.higgs.cubemaster3d	10253,10230
com.epson.mobilephone.android.epsonprintserviceplugin	10147,10184
com.edkongames.ww2	10239
com.kscc.scxb.mbl	10444,10436
com.concretesoftware.rapala	10264,10245
com.pianotiles.KPOP.Games	10237
com.isharing.isharing	10153
com.infigames.babycomputer	10250,10249
com.joyjourney.PianoWhiteGo	10237,10230
br.com.mobits.cartolafc	10409,10420
com.king.pyramidsolitairesaga	10227,10225
dvortsov.alexey.cinderella3	10230
com.cocoplay.first.kiss	10230,10341,10252
com.taprix.er.emergency.hospital.surgery.simulator.doctor.games	10243,10230
it.rainet	10055,10058
com.midasplayer.apps.bubblewitchsaga2	10230
com.atsoft.fnfmusic	10237
com.manash.purplle	10378,10102
batalsoft.drumsolohd.rock	10165,10028
com.frigatestudios.durak	10225,10230
com.lightx	10182
com.att.callprotect	10278
com.tmobile.m1	10283
com.bestvideostudio.movieeditor	10183,10182
air.mwe.cookingcuteheartcupcakes	10250
com.bariskaplan.citycardriving	10244
com.gamelead.street.archer.run	10239,10228
com.lonelycatgames.Xplore	10184,10290
com.loudtalks	10277
com.CouponChart	10386,10387
com.gamevil.kritikamobile.android.google.global.normal	10254,10228
roman10.media.converter	10164
jp.naver.linecamera.android	10182
com.vova.android	10393
braveheart.apps.apkinstaller	10184
net.promediastudio.blondiebrideperfectwedding	10252
com.sinyee.babybus.dentistII	10250,10230
com.ikeyboard.theme.os11	10284
black.mafia.ironboy.stickman.rope.heros	10239,10228
com.Pizia.VoodooDoll	10230
com.citibanamex.banamexmobile	10189,10191
com.sinyee.babybus.greenhouse	10250
com.inspiredsquare.blocks	10227,10253
com.indianrail.thinkapps.irctc	10444,10436
bubbleshooter.android	10230
com.zenjoy.quick.collage	10182
com.motorola.arselfie	10182
com.application.zomato	10212
com.lyrebirdstudio.pip_collage	10182
com.puzzledom.differencefindtour	10253,10230
de.lotum.whatsinthefoto.it	10257,10253,10230
com.UCMobile.intl	10185
com.bringsgame.kiss	10284
com.stickman.warriors.stickwarriors.dragon.shadow.fight	10233
air.mwe.delicioushotspicypizza	10250,10230
com.google.android.apps.subscriptions.red	10290
com.phone.caller.ringtone.my.name.ringtone.maker	10284
com.backflipstudios.android.dragonvale	10240
com.google.android.apps.messaging	10281,10280
com.cocoplay.gymnastics.acrobat	10230
com.pakdata.QuranMajeed
com.clap.find.my.mobile.alarm.sound	10184
com.fingersoft.benjibananas	10230,10228
com.radio.fmradio	10040
ru.yota.android	10283
com.gokids.livenumbers	10250,10249
com.live.soulchill	10322
com.sina.weibo	10326
com.baby.toddler.games	10250,10249
com.money91	10140,10010
net.playq.charmking	10230
com.xvideostudio.videocompress	10164
com.sec.android.app.popupcalculator	10358
info.androidstation.qhdwallpaper	10284
com.icloudzone.AsphaltMoto	10232
com.sec.android.app.sbrowser	10185
it.vodafone.my190	10282,10283
com.videoshow.videomaker.videoeditor.slideshow	10183,10182
com.outfit7.movingeye.swampattack	10247,10228
com.multicraft.game	10238
com.google.android.apps.searchlite	10289,10285
com.BestGames.FlyingCarSimulatorDriver	10244
com.powernapps.acallfromsanta
com.turbo.speedracing	10232,10230
com.gb.spider.stickman.ropehero.grandcitycrime	10228
com.adsk.sketchbook	10176,10251
com.bilkon.launchpad	10165,10032
com.webelinx.EscapeRoom.Free.Portrait.Game	10253,10230
com.iz.coloring.games.kids.drawing.book.color.by.number	10227,10251
com.playgendary.tanks	10228
com.sh.smart.caller	10184
com.xiaomi.smarthome	10154
com.bestringtonesapps.notificationsounds	10284
com.simplescan.scanner	10184
com.facebook.work	10332,10168
com.raafiya.universalacremotecontrol	10269,10184
com.dc.hwsj	10247,10254
com.mobsnake.verticalgallery	10184,10182
com.indigokids.mashamakeup	10227,10252
de.smuttlewerk.fleetbattle	10247
com.avuscapital.trading212	10206,10208
com.lionstudios.mrbullet	10253,10230
com.jmsys.earth3d	10366
com.anotherplaceproductions.fat2fit	10230,10228
com.hmdglobal.support	10286
com.gamexis.car.design.mechanic.shop.apps	10244
com.cg.moneybuster	10253,10230
com.Funimation.FunimationNow	10055,10003
com.drawapp.magicdoodle	10251
com.billion.gaming.studio.single.mom.simulator.virtual.happy.family	10243
com.nagastudio.giant.monster.run	10230,10228
com.lyrebirdstudio.cartoon	10182
com.tickettothemoon.gradient.photo	10182
com.mobirix.swipebrick2	10230
com.termux	10163,10180
qlocker.gesture	10184
com.mobirix.swipebrick	10230
com.gamma.scan	10184
com.tutotoons.app.jungleanimalhairsalon2.free	10230,10252
musicplayer.bass.equalizer	10178,10028
com.budgestudios.HelloKittyNailSalon	10252
org.pbskids.video	10055,10064
game.bubble.shooter.dragon.pop	10230
com.FakeCallCat2	10011
com.google.android.apps.chromecast.app	10055,10184
com.opensooq.OpenSooq	10385
com.amplayin.survival.play	10230,10228
com.light.reader.books	10118
cdiscount.mobile	10393
com.sinyee.babybus.organizedII	10250
com.onemusic.freeyoutubemusic.musicplayer	10178,10035
com.budgestudios.googleplay.hellokittyfashionstar	10230,10252
com.distimo.phoneguardian	10150
com.jdpapps.textt1	10173,10280
messenger.messenger.messenger.messenger	10281,10280
com.mxtech.videoplayer.share	10324
com.hippotap.claw	10230,10228
com.chillingo.ironforce.android.rowgplay	10239,10247
com.crazylabs.diy.make.up	10230,10252
com.cct.endlessrun.jungleescape	10228
com.iec.imposter.solo.kill	10253,10230
com.guide.grand.city.auto.tips	10228
com.shinemusicplayer.androidgpmusic	10035,10053
com.jiubang.alock	10184
com.jaumo.casual	10322
air.com.lunime.gachalife	10227,10254
com.miniclip.footballstrike	10245,10420
mobi.abcmouse.academy_goo	10360
audio.mp3.music.player	10178
com.baspin.barbershop	10230
com.dancing.tiles.magic.music.beat.saber	10237
world.social.group.video.share	10332
com.gf.rampcar.racing.stunts.extreme	10232
com.doodlejoy.studio.kaleidoo	10251
com.timuzgames.eurobussimulator2018	10244
kr.co.samsungcard.mpocket	10189,10191
com.JESoftware.LastHopeSniperWar	10239
com.samsung.ims.smk	10184
com.linkdeskstudio.popcat	10230
air.com.playtika.slotomania	10227
com.vidio.android	10055,10059,10054
com.remotemyapp.vortex	10227
com.newstory.DrawHappyPolice	10253,10230
com.gamegos.mobile.manorcafe	10230
multi.parallel.dualspace.cloner	10331,10184
com.rvappstudios.shapes.colors.toddler	10299,10250,10249
com.touchtype.swiftkey	10184
com.sssgov.sssmobileapp	10189
com.prettysimple.criminalcasepacificbayandroid	10253,10229
com.genesis.chargingshow	10330
lk.bhasha.helakuru	10184
com.OppanaGames.HuntingSimulator4x4	10228
com.shoujocity.sc3d	10243,10003
kr.co.nowcom.mobile.afreeca	10054
com.globant.clubpersonal	10388,10283
com.skydot.docxreader.docx.docxviewer.document.doc.office.viewer.reader.word	10166
com.custom.spillit	10253,10230
video.mojo	10183,10332
com.bumble.app	10322
com.gameloft.android.ANMP.GloftPOHM	10004,10250,10242
com.final_kick.best_penalty_shootout.soccer_football_game_free	10245
com.wombatica.facewarp	10182
com.ParsisGames.AirCombatEn	10228
com.goseet.VidTrim	10183
com.symantec.mobilesecurity	10149
com.gxbwfw.futsalgame	10245,10420
com.number.draw.dot.to.dot.coloring	10227,10251
com.taprun.fruit.candy.candymonsterline	10230
com.gss.offroad.taxi.driving	10244
com.tellurionmobile.realmcraft	10248,10238
com.gamebasic.decibel	10358,10028
com.coloring.book.animals	10251
com.diandian.gog	10247,10242
mytown.hospital.free	10250
com.sinyee.babybus.foodstory	10230,10252
se.scmv.morocco	10385
com.miui.weather2	10318
com.trianguloy.openInWhatsapp	10280
ru.rzd.pass	10436,10121
com.mu.muclubapp	10317,10420
com.nordcurrent.murderinalps	10253,10229
com.recorder.music.bstech.videoplayer	10178
com.gamebility.onet	10253,10230
air.com.mobigrow.canyouescape	10253
com.lioncel.NoOneEscape	10229,10228
com.DominikKotlarEULC	10244
com.tapmonkey.dinowater	10240
com.lordix.masterforminecraft	10248,10234,10238
com.mohitdev.minebuild	10238
com.friendsgamesincubator.drawtheline	10230
com.irisstudio.logomaker	10176,10122,10068
com.mapsmods.mcpeaddons.mastermods.pedition.mcpestudio	10238,10248
com.miracle.drawtosave.an	10253,10230
com.racergame.cityracing3d	10232
com.weegoon.drawpuzzle2onelineonepart	10227,10253
com.wordgame.puzzle.block.crush	10257,10253
com.etoolkit.lovecollage	10182
com.stupid.stikman	10230
com.mobond.mindicator	10444,10427
com.huawei.hwid	10184
mytown.danceschool.free	10237,10250
com.google.android.apps.seekh	10363,10249
com.digitalkingdom.makeover	10230
com.colorhole.game	10253,10230
com.octro.rummy	10227,10225
com.genina.android.blackjack.view
